beta,lambda,Accuracy_mean,Accuracy_se,Length_mean
4.0,0.3,0.944681254961516,0.00017576963272660995,1.3054188382286955
4.0,0.6,0.9533163059860331,0.00014618489839546782,1.1231819280019328
4.0,0.9,0.9562897640331802,0.00013950945470695176,1.0415593828737097
8.0,0.3,0.9687070721016119,0.00010276242309839046,1.268567862032467
8.0,0.6,0.9690620002531091,0.0001433463468872658,1.0359363315270538
8.0,0.9,0.9688796465674939,0.00014380779800186343,1.003523395345091
16.0,0.3,0.9754840713767992,8.923803956487132e-05,1.121085148241466
16.0,0.6,0.9711599305100151,8.395898358368177e-05,1.0039651859777492
16.0,0.9,0.9704949435681498,8.732468815560985e-05,1.0000523475879843
