setting,Accuracy_mean,Accuracy_se,Length_mean,IG_mean
baseline,0.9690620002531091,0.0001433463468872658,1.0359363315270538,0.3909313881350675
A2_off_nonuniform_prior,0.9690620002531091,0.0001433463468872658,1.0359363315270538,0.3805794659510406
A3_off_state_dependent_cost,0.9646176325084271,0.00012345457601811992,1.0244561028083616,0.42212317230833285
A4_off_precision_drift,0.9688761950781761,0.00027400752015715676,1.0374538363303767,0.3890200641470191
A5_off_miscalibrated_semantics,0.9690620002531091,0.0001433463468872658,1.0359363315270538,0.3909313881350675
